"Summary by Level","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","17","3.974","94.1","5.9","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","16","3.977","93.8","6.3","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","35","3.977","94.3","5.7","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","3","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","10","",".",".","",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","21","",".",".","",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Professionals","","31","",".",".","",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
