"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101
001","121","2.667","7.4","20.7","24.0","12.4","6.6","6.6","6.6","0.8",".",".",".",".",".",".","14.9","."
"Amer Hist-Civil War-Present","102
001","66","3.473","43.9","24.2","1.5","3.0","7.6","1.5","1.5","9.1",".",".",".",".",".","7.6",".","."
"Hist:The Univ in the West","107
001","16","3.281","62.5","12.5","6.3","6.3",".",".","12.5",".",".",".",".",".",".",".",".","."
"","108
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","108
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","108
003","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to E Asian Hist - Korea","Course Total","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to US History","109
001","16","3.964","81.3","6.3",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Europe & the World, 1400-1815","119
001","77","3.583","37.7","24.7","10.4","3.9",".","1.3",".","22.1",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120
001","49","3.500","34.7","22.4","8.2","2.0","4.1","2.0",".","26.5",".",".",".",".",".",".",".","."
"British Hist: 1688-Present","124
001","31","3.889","54.8",".",".",".","3.2",".",".","41.9",".",".",".",".",".",".",".","."
"Intro to World History","130
001","72","3.729","65.3","6.9","1.4","4.2","1.4","2.8",".","18.1",".",".",".",".",".",".",".","."
"History of Race and Inequality","143
001","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"The U.S. West Since 1850","152
001","47","3.717","63.8","21.3","4.3","8.5",".",".",".",".",".",".",".",".","2.1",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","22","3.806","72.7",".",".","4.5","4.5",".",".","18.2",".",".",".",".",".",".",".","."
"American Indian History","190
001","39","3.630","28.2","20.5","7.7","2.6",".",".",".","41.0",".",".",".",".",".",".",".","."
"","200
001","13","3.269","38.5","23.1","15.4",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"","200
002","15","3.250","26.7","26.7","20.0","6.7","13.3",".",".",".",".",".",".",".",".","6.7",".","."
"Historical Studies","Course Total","28","3.259","32.1","25.0","17.9","3.6","17.9",".",".",".",".",".",".",".",".","3.6",".","."
"","201
001","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","13","3.654","30.8","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
004","34","3.721","64.7","17.6","14.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","201
005","15","3.667","60.0","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","201
006","40","3.539","57.5","10.0","20.0","2.5","2.5",".","2.5",".",".",".",".",".","5.0",".",".","."
"","201
007","15","3.467","13.3","66.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
008","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
010","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
011","15","3.893","80.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","201
012","15","3.567","46.7","40.0",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","201
013","13","3.667","61.5","15.4","7.7",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"","201
014","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
015","14","3.769","57.1","28.6","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"The Historian's Craft","Course Total","244","3.705","61.5","23.8","9.4","1.2","1.6",".","0.4",".",".",".",".",".","1.6","0.4",".","."
"Western Christianity to 1750","212
001","26","3.824","53.8","7.7",".",".","3.8",".",".","34.6",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","221
001","51","3.479","35.3","35.3","9.8","9.8",".","2.0",".","7.8",".",".",".",".",".",".",".","."
"","223
001","17","3.588","47.1","35.3","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","223
002","11","3.045","27.3","27.3","27.3",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","Course Total","28","3.375","39.3","32.1","14.3","7.1","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"","229
001","22","3.441","27.3","22.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".","18.2","4.5"
"","229
002","44","3.430","22.7","50.0","20.5","2.3",".","2.3",".",".",".",".",".",".","2.3",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 262 of 480",""
