"Fourth Semester Turkish","440
001
2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Adv Tpcs in E Eu & Cen As L&C","471
001
3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Turkish & Azeri","540
001
1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"425
GNS","Dept. Total
12","3.833","83.3","8.3","8.3","",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","10","3.793","80.0","10.0","10.0","",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Graduate","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
12","3.833","83.3","8.3","8.3","",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
