"","990
010","","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
011","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
012","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
015","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research in Genetic Counseling","Course Total","","8","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"413
GENECSLR","Dept. Total","","80","3.768","58.8","17.5","2.5","1.3","",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"413
GENECSLR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","","56","3.825","64.3","17.9","3.6",".","",".","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","24","3.663","45.8","16.7",".","4.2","",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"Professionals","","","80","3.768","58.8","17.5","2.5","1.3","",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","80","3.768","58.8","17.5","2.5","1.3","",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
