"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","771
001","","79","2.459","22.8",".","45.6",".","1.3",".",".","6.3",".",".",".",".",".",".",".","."
"","771
002","","14","1.286","7.1",".","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","771
003","","40","2.795","35.0",".","42.5",".","2.5",".",".",".",".",".",".",".",".",".","2.5","."
"Select Topics-Estate Planning","Course Total","","133","2.443","24.8",".","42.9",".","2.3",".",".","3.8",".",".",".",".",".",".","0.8","."
"Use of Trusts-Estate Planning","772
002","","11","1.200","9.1",".","18.2",".","9.1",".",".",".",".",".",".",".",".",".","9.1","."
"Evidence","801
001","","34","1.185","11.8",".","11.8",".","5.9",".",".","20.6",".",".",".",".",".",".",".","."
"Civil Procedure II","802
001","","89","1.086","13.5",".","11.2",".","5.6",".",".","7.9",".",".",".",".","1.1",".",".","."
"","808
001","","16","",".",".",".",".",".",".",".","81.3",".",".",".",".",".",".",".","18.8"
"","808
002","","16","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"","808
003","","17","1.471","23.5",".","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
004","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","","67","1.471","6.0",".","4.5",".",".",".",".","64.2",".",".",".",".",".",".",".","10.4"
"","815
001","","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
003","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","","60","",".",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","10.0"
"Business Organizations I","817
001","","48","1.489","25.0",".","12.5",".","4.2",".",".","2.1",".",".",".",".",".",".",".","."
"Family Law: Parent & Child","823
001","","29","1.655","31.0",".","13.8",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"Federal Jurisdiction","824
001","","54","1.706","35.2",".","5.6",".","1.9",".",".","5.6",".",".",".",".",".",".",".","."
"Land Use Controls","830
001","","13","1.769","23.1",".","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Transactions II","838
001","","10","1.200",".",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation II","840
001","","17","1.133","11.8",".","17.6",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Water Rights Law","845
001","","16","1.333","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"","849
001","","13","",".",".",".",".",".",".",".","76.9",".",".",".",".",".",".",".","23.1"
"","849
002","","6","2.167","16.7",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","849
003","","14","",".",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","28.6"
"","849
004","","15","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","20.0"
"Pre-Trial Advocacy","Course Total","","48","2.167","2.1",".","6.3",".",".",".",".","66.7",".",".",".",".",".",".",".","20.8"
"","850
001","","75","1.373","13.3",".","21.3",".","2.7",".",".","10.7",".",".",".",".",".",".",".","."
"","850
002","","30","1.143","10.0",".","20.0",".","3.3",".",".","6.7",".",".",".",".",".",".",".","."
"","850
003","","16","1.188","6.3",".","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","","121","1.293","11.6",".","22.3",".","2.5",".",".","8.3",".",".",".",".",".",".",".","."
"","852
001","","16","",".",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","6.3"
"","852
003","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
004","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 372 of 480",""
