"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Taxatn:Bus & Persnl Planng","329
100","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to American Law","601
001","8","1.750","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","715
001","58","1.121","15.5",".","15.5",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"","715
002","60","1.233","18.3",".","13.3",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","715
003","57","1.614","15.8",".","31.6",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Torts I","Course Total","175","1.320","16.6",".","20.0",".","2.3","1.1",".",".",".",".",".",".",".",".",".","."
"Contracts II","721
001","17","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0"
"","723
001","19","1.421","15.8",".","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","17","1.529","29.4",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","18","0.222","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
004","18","1.278","11.1",".","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","19","1.526","15.8",".","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","723
006","19","1.737","31.6",".","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
007","19","1.053","10.5",".","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
008","18","0.706","16.7",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","723
009","19","1.000","5.3",".","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","166","1.170","15.7",".","17.5",".","0.6",".",".",".",".",".",".",".","0.6",".",".","."
"","724
001","58","1.362","17.2",".","19.0",".","5.2",".",".",".",".",".",".",".",".",".",".","."
"","724
002","63","1.286","15.9",".","17.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","724
003","59","1.220","11.9",".","23.7",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","180","1.289","15.0",".","20.0",".","4.4",".",".",".",".",".",".",".",".",".",".","."
"","725
001","83","0.772","12.0",".","8.4",".",".",".",".","3.6",".",".",".",".","1.2",".",".","."
"","725
002","41","0.868","7.3",".","17.1",".",".",".",".","7.3",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","Course Total","124","0.803","10.5",".","11.3",".",".",".",".","4.8",".",".",".",".","0.8",".",".","."
"Federal Law & Indian Tribes","730
001","20","1.429","10.0",".","20.0",".",".",".",".","25.0",".",".",".",".",".",".","5.0","."
"","731
001","53","1.434","15.1",".","26.4",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"","731
002","55","1.327","14.5",".","20.0",".","7.3",".",".",".",".",".",".",".",".",".",".","."
"","731
003","68","0.706","1.5",".","13.2",".","11.8","1.5",".",".",".",".",".",".",".",".",".","."
"","731
004","25","1.650","28.0",".","4.0",".","4.0",".",".","20.0",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","201","1.161","11.9",".","17.4",".","7.0","0.5",".","2.5",".",".",".",".",".",".",".","."
"Taxation I","742
001","52","2.020","23.1",".","32.7",".",".",".",".","3.8",".",".",".",".",".","1.9",".","."
"","743
001","10","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","20.0"
"","743
002","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","743
003","9","",".",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","11.1"
"","743
004","12","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"","743
005","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","743
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Negotiations","Course Total","57","",".",".",".",".",".",".",".","89.5",".",".",".",".",".",".",".","10.5"
"Administrative Law","744
001","77","0.823","9.1",".","9.1",".","1.3",".",".","19.5",".",".",".",".",".",".",".","."
"Copyright Law","752
001","53","1.426","20.8",".","13.2",".","1.9",".",".","11.3",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
