"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"761","001","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"761","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Prgm Planning, Eval, QI","Course Total","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Curr Dev&Eval-Nurs Ed
785","003","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Teach&Learn in Nursng
786","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Quant Design & Methods
803","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measurement in Health Research
805","001","","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"806","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"806","004","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval & App Evidence-Based Prac","Course Total","","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"829","020","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"829","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"829","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"829","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership IV","Course Total","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadrshp Dev & Steward Pract
830","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"906","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"906","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"906","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"906","012","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
"Scholarly Project","Course Total","","37","",".",".",".",".",".",".",".","97.3",".",".",".",".","2.7",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","12","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 457 of 480",""
