"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"General Chem I Laboratory","101
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Chem II Laboratory","Course Total","2","***","","","","","","","","","","","","","","","",""
"","103
001","326","2.982","27.0","15.3","24.8","12.9","9.8","9.2","0.6",".",".",".",".",".","0.3",".",".","."
"","103
002","322","2.973","25.5","12.4","27.6","12.7","16.1","3.1","1.9",".",".",".",".",".","0.6",".",".","."
"","103
003","44","2.875","25.0","9.1","29.5","11.4","15.9","6.8","2.3",".",".",".",".",".",".",".",".","."
"General Chemistry I","Course Total","692","2.971","26.2","13.6","26.4","12.7","13.2","6.2","1.3",".",".",".",".",".","0.4",".",".","."
"","104
001","285","3.070","28.8","12.6","26.3","14.0","14.7","3.2",".",".",".",".",".",".","0.4",".",".","."
"","104
002","266","3.060","25.9","13.2","25.2","19.9","14.3","1.1",".",".",".",".",".",".","0.4",".",".","."
"","104
003","287","2.923","24.4","13.2","24.7","12.5","17.8","7.3",".",".",".",".",".",".",".",".",".","."
"","104
005","268","2.950","24.6","14.9","24.6","12.3","17.2","5.2","1.1",".",".",".",".",".",".",".",".","."
"","104
006","215","2.998","25.6","10.7","30.2","14.9","13.5","5.1",".",".",".",".",".",".",".",".",".","."
"General Chemistry II","Course Total","1321","3.000","25.9","13.0","26.0","14.7","15.6","4.4","0.2",".",".",".",".",".","0.2",".",".","."
"Chemistry in Our World","108
001","188","2.997","27.1","13.3","25.0","14.9","13.3","5.9","0.5",".",".",".",".",".",".",".",".","."
"Chemical Principles II","116
001","28","3.643","53.6","21.4","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
059","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
145","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Across the Periodic Table","311
001","59","3.280","25.4","40.7","16.9","8.5","5.1","1.7","1.7",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","327
001","67","3.209","32.8","25.4","19.4","10.4","4.5","7.5",".",".",".",".",".",".",".",".",".","."
"","329
001","66","3.492","33.3","39.4","22.7","1.5","3.0",".",".",".",".",".",".",".",".",".",".","."
"","329
002","31","3.016","22.6","25.8","22.6","9.7","12.9","3.2","3.2",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","Course Total","97","3.340","29.9","35.1","22.7","4.1","6.2","1.0","1.0",".",".",".",".",".",".",".",".","."
"","342
001","9","3.111","33.3","11.1","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","342
002","11","3.318","45.5",".","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Organic Chem Lab","Course Total","20","3.225","40.0","5.0","25.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","343
001","183","2.923","31.1","4.4","23.0","8.7","28.4","1.6","1.6",".",".",".",".",".","1.1",".",".","."
"","343
002","255","2.879","24.7","14.1","20.8","9.0","24.3","3.9","2.4",".",".",".",".",".","0.8",".",".","."
"","343
003","191","2.827","23.6","8.4","25.1","10.5","26.2","5.2","1.0",".",".",".",".",".",".",".",".","."
"Organic Chemistry I","Course Total","629","2.876","26.2","9.5","22.7","9.4","26.1","3.7","1.7",".",".",".",".",".","0.6",".",".","."
"","344
001","16","3.219","25.0","25.0","31.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","344
002","13","3.077","23.1","23.1","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".","."
"","344
003","18","3.222","27.8","5.6","55.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
004","14","3.429","35.7","21.4","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","344
005","17","3.206","23.5","29.4","23.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","344
006","16","3.156","25.0","6.3","50.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
007","18","3.222","33.3",".","50.0","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 203 of 480",""
