"RELIGIOUS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Religion and Popular Culture","105
001","73","3.360","35.6","19.2","19.2","15.1","4.1",".",".","6.8",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Western Christianity to 1750","212
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asia Enchanted","236
001","22","3.636","63.6","13.6","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Dante's Divine Comedy","253
001","18","3.583","50.0","33.3","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","308
001","26","3.712","80.8","11.5",".",".","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Science, Medicine&Religion","331
001","18","3.643","22.2","11.1",".","5.6",".",".",".","55.6",".",".",".",".",".",".","5.6","."
"American Jewish Life of DNA","340
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit: Pauline Christianity","361
001","29","3.870","72.4","17.2","3.4",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"Great Cities of Islam","373
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Religious Studies","403
001","19","3.763","89.5","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Gods and Goddesses of South As","405
001","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Enlightenm't & Its Critics","411
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The History of Yoga","460
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Muslims and Jews","462
001","8","3.125","62.5",".","12.5",".",".","25.0",".",".",".",".",".",".",".",".",".","."
"Religion,Global,PublicHealth","475
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Religion-Ancient Mediterranean","517
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"856
RELIG ST","Dept. Total","290","3.656","61.7","13.8","8.3","5.5","2.1","0.7","0.7","6.6",".",".",".",".","0.3",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","2.821","7.1","14.3","28.6","35.7","14.3",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","61","3.595","60.7","16.4","14.8","3.3","3.3",".","1.6",".",".",".",".",".",".",".",".","."
"Junior","","95","3.704","67.4","14.7","10.5","5.3","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"Senior","","95","3.793","78.9","14.7","1.1","3.2","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Undergraduates","","265","3.667","66.8","15.1","9.1","5.7","2.3","0.4","0.8",".",".",".",".",".",".",".",".","."
"Special","","22","3.357","4.5",".",".","4.5",".",".",".","86.4",".",".",".",".",".",".","4.5","."
"Graduate","","3","***","","","","","","","","","",".",".",".","33.3",".",".","."
"","Dept. Total","290","3.656","61.7","13.8","8.3","5.5","2.1","0.7","0.7","6.6",".",".",".",".","0.3",".","0.3","."
