"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOSCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","","",""
"420
GEOSCI","Dept. Total","1511","3.403","35.9","30.5","12.4","6.6","3.9","1.5","0.8","5.3","",".","0.5","",".","0.4","0.1","1.9","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","197","3.251","19.8","43.7","18.8","7.1","6.6","3.0","0.5",".","",".",".","",".",".",".","0.5",".","."
"Sophomore","","414","3.440","38.6","35.5","11.1","9.2","3.1","1.2","1.0",".","",".",".","",".",".",".","0.2",".","."
"Junior","","338","3.329","37.0","32.2","14.5","8.9","3.8","2.1","0.9",".","",".",".","",".",".",".","0.6",".","."
"Senior","","365","3.442","42.5","29.0","14.8","4.9","5.2","1.1","1.1",".","",".","0.3","",".","0.5",".","0.3","0.3","."
"Undergraduates","","1314","3.380","36.5","34.1","14.2","7.6","4.4","1.7","0.9",".","",".","0.1","",".","0.2",".","0.4","0.1","."
"Special","","66","3.154","1.5","3.0","1.5",".","1.5",".",".","53.0","",".",".","",".",".",".","33.3","6.1","."
"Graduate","","131","3.895","47.3","8.4","0.8",".",".",".",".","34.4","",".","4.6","",".","3.1","0.8","0.8",".","."
"","Dept. Total","1511","3.403","35.9","30.5","12.4","6.6","3.9","1.5","0.8","5.3","",".","0.5","",".","0.4","0.1","1.9","0.3","."
