"URBAN AND REGIONAL PLANNI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"Welcome to Your Urban Future
215","001","","138","3.920","88.4","7.2","2.2","1.4",".",".",".",".",".",".",".",".","0.7",".",".","."
"Introduction to the City
305","001","","22","3.523","50.0","27.3","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process
306","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Survey Research
373","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"420","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"420","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Evolution-American Planning
463","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis
520","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Climate Action Plan Transport
551","001","","20","3.675","50.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Directed Study
699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Planning Thought & Practice
781","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication
791","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Analysis & Policy Capst
810","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Planning & the Legal System
833","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Housing and Public Policy
844","001","","28","4.000","96.4",".",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Smr-Rsch Review & Criticism
932","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
