"","999
045","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
065","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
066","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","6","3.333","83.3",".",".",".",".",".","16.7",".","",".",".","",".",".",".",".",".","."
"736
PHILOS","Dept. Total","1936","3.593","56.3","21.7","9.5","4.2","2.6","1.3","0.8","1.8","",".",".","",".","0.2","1.4","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","155","3.143","30.3","28.4","15.5","11.6","7.1","1.9","4.5",".","",".",".","",".",".",".","0.6",".","."
"Sophomore","","606","3.620","58.7","23.3","9.7","3.6","2.1","1.8","0.3","0.2","",".",".","",".",".","0.2",".",".","."
"Junior","","528","3.636","61.4","20.8","8.1","4.5","2.7","1.3","0.4",".","",".",".","",".",".","0.6","0.2",".","."
"Senior","","540","3.640","58.7","21.5","10.6","3.3","2.2","0.7","0.6",".","",".",".","",".",".","1.9","0.6",".","."
"Undergraduates","","1829","3.588","57.1","22.5","10.0","4.5","2.7","1.4","0.8","0.1","",".",".","",".",".","0.8","0.3",".","."
"Special","","22","3.278","9.1","9.1",".",".",".","4.5",".","72.7","",".",".","",".",".",".","4.5",".","."
"Graduate","","82","3.827","48.8","8.5","1.2",".",".",".","1.2","20.7","",".",".","",".","3.7","15.9",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","1936","3.593","56.3","21.7","9.5","4.2","2.6","1.3","0.8","1.8","",".",".","",".","0.2","1.4","0.3",".","."
