"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","644
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","644
002","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
002","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Info Architecture","Course Total","","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
001","","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","22","3.738","72.7","4.5","13.6",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","","40","3.769","72.5","10.0","12.5",".","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"","654
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","654
002","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","Course Total","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","","16","3.933","87.5",".","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","661
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Ethics and Policy","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","663
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","663
003","","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cyberlaw","Course Total","","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","668
001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","668
002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dig Curation and Collections","Course Total","","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Analytics","705
001","","94","3.883","76.6","23.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Mining Planning and Mgmt","706
002","","36","3.931","86.1","13.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Management for Info Prof","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College & Univ Libraries","722
001","","30","3.950","96.7",".",".","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","751
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
002","","88","3.852","75.0","21.6","2.3","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Info Prof","Course Total","","92","3.853","75.0","21.7","2.2","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"","768
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","768
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Humanities Analytics","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","772
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","772
002","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","Course Total","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
001","","10","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","855
002","","14","3.731","64.3","7.1","21.4",".",".",".",".","7.1",".",".",".",".",".",".",".","."
