"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","555
001","78","3.776","62.8","29.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555
002","60","3.900","83.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555
003","66","3.545","40.9","34.8","18.2","4.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"","555
103","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Strategy & Evaluation","Course Total","211","3.742","62.1","26.5","9.5","1.4","0.5",".",".",".",".",".",".",".",".",".",".","."
"","561
001","29","3.793","72.4","17.2","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","561
002","43","3.500","48.8","20.9","14.0","14.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"Consumer Engagement","Course Total","72","3.618","58.3","19.4","11.1","9.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"","562
001","57","3.570","38.6","43.9","12.3","3.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"","562
002","47","3.638","31.9","63.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","Course Total","104","3.601","35.6","52.9","8.7","1.9","1.0",".",".",".",".",".",".",".",".",".",".","."
"","564
001","58","3.155","29.3","15.5","22.4","25.9","5.2","1.7",".",".",".",".",".",".",".",".",".","."
"","564
002","57","2.667","14.0","15.8","24.6","8.8","22.8","14.0",".",".",".",".",".",".",".",".",".","."
"","564
003","44","2.659","13.6","22.7","18.2","18.2","9.1","13.6","4.5",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","Course Total","159","2.843","19.5","17.6","22.0","17.6","12.6","9.4","1.3",".",".",".",".",".",".",".",".","."
"","567
001","41","3.878","85.4","9.8",".","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","567
002","55","3.809","83.6","5.5","1.8","7.3","1.8",".",".",".",".",".",".",".",".",".",".","."
"","567
102","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Product Development Strategies","Course Total","103","3.845","84.5","7.8","1.0","5.8","1.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Policy","579
002","13","3.538","46.2","30.8","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","36","3.625","66.7","13.9","8.3","5.6","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
001","50","3.740","66.0","24.0","4.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","627
001","37","3.203","24.3","27.0","27.0","18.9",".",".","2.7",".",".",".",".",".",".",".",".","."
"","627
101","10","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","Course Total","47","3.255","27.7","25.5","27.7","17.0",".",".","2.1",".",".",".",".",".",".",".",".","."
"","635
001","19","3.132","15.8","36.8","26.3","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","635
002","45","3.489","42.2","28.9","15.6","11.1","2.2",".",".",".",".",".",".",".",".",".",".","."
"","635
003","34","3.044","5.9","35.3","41.2","8.8","2.9","5.9",".",".",".",".",".",".",".",".",".","."
"","635
103","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","Course Total","105","3.286","25.7","32.4","26.7","9.5","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","657
001","62","3.935","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","657
002","59","3.881","79.7","16.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","657
003","62","3.492","22.6","58.1","14.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","657
004","53","3.519","18.9","71.7","5.7","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"","657
104","11","3.722","36.4","45.5",".",".",".",".",".",".",".",".",".",".",".",".","18.2","."
"Consumer Behavior","Course Total","247","3.712","52.2","39.3","5.7","1.6","0.4",".",".",".",".",".",".",".",".",".","0.8","."
"","665
001","35","3.300","31.4","34.3","14.3","14.3","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","665
101","19","3.389","36.8","31.6","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".","5.3","."
"Household Risk Management","Course Total","54","3.330","33.3","33.3","13.0","13.0","1.9","1.9","1.9",".",".",".",".",".",".",".","1.9","."
"","675
001","53","3.632","34.0","60.4","3.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","36","3.444","38.9","41.7","5.6","8.3",".","5.6",".",".",".",".",".",".",".",".",".","."
