"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"682","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Senior Thesis
691","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiological Plant Ecology
802","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Plant Physiol
858","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology & Marine Sci Seminar
911","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Mycology
930","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Plant Systematics&Evolutn
940","002","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Seminar-Plant Ecology
950","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"993","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"993","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research: Fungal Biology","Course Total","","4","***","","","","","","","","","","","","","","","",""
"994","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"994","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"994","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"994","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Systematics","Course Total","","13","",".",".",".",".",".",".",".","61.5",".",".",".","23.1",".",".","15.4","."
"995","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"995","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"995","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Ecology","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"996","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
