"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","32","",".",".",".",".",".",".",".",".","",".","","100.0",".","",".","",".",".",".","."
"Actuarial Science Methods II","301
001","30","",".",".",".",".",".",".",".",".","",".","","100.0",".","",".","",".",".",".","."
"","303
001","40","3.188","25.0","22.5","32.5","10.0","7.5","2.5",".",".","",".","",".",".","",".","",".",".",".","."
"","303
003","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Theory of Interest","Course Total","41","3.183","24.4","22.0","34.1","9.8","7.3","2.4",".","",".","",".",".","",".","",".",".",".",".","."
"Reading and Research","399
141","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Actuarial Mathematics I","650
001","37","3.042","40.5",".","24.3","13.5","13.5",".","5.4",".","",".","",".",".","",".","","2.7",".",".","."
"Actuarial Mathematics II","651
001","18","3.222","33.3","22.2","22.2","11.1","5.6","5.6",".",".","",".","",".",".","",".","",".",".",".","."
"Loss Models I","652
001","31","3.333","41.9","6.5","25.8","19.4","3.2",".",".",".","",".","",".",".","",".","","3.2",".",".","."
"Loss Models II","653
001","18","3.111","22.2","27.8","33.3","5.6",".","11.1",".",".","",".","",".",".","",".","",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","28","3.232","21.4","21.4","42.9","10.7","3.6",".",".",".","",".","",".",".","",".","",".",".",".","."
"Risk Analytics","657
001","23","3.391","26.1","34.8","30.4","8.7",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"242
ACT SCI","Dept. Total","259","3.213","23.6","13.1","23.2","8.9","4.2","1.5","0.8","",".","",".","23.9","",".","",".","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","39","2.889","7.7","7.7","15.4","2.6","10.3","2.6",".","",".","",".","53.8","",".","",".",".",".",".","."
"Junior","","55","3.339","23.6","9.1","14.5","7.3",".",".","1.8","",".","",".","43.6","",".","",".",".",".",".","."
"Senior","","121","3.264","33.1","13.2","24.0","9.9","4.1","2.5","0.8","",".","",".","10.7","",".","",".","1.7",".",".","."
"Undergraduates","","215","3.235","26.0","11.2","20.0","7.9","4.2","1.9","0.9","",".","",".","27.0","",".","",".","0.9",".",".","."
"Special","","20","2.844","5.0","5.0","40.0","20.0","10.0",".",".","",".","",".","20.0","",".","",".",".",".",".","."
"Graduate","","24","3.313","16.7","37.5","37.5","8.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","259","3.213","23.6","13.1","23.2","8.9","4.2","1.5","0.8","",".","",".","23.9","",".","",".","0.8",".",".","."
