"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"358","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"358","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"358","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Asian Language","Course Total","","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Japanese: Foundations
375","001","","19","3.639","47.4","31.6","10.5","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"Bus Japanese Communication
377","001","","21","3.714","71.4","14.3","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"379","001","","22","3.714","54.5","27.3","13.6",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"379","002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Chinese","Course Total","","34","3.803","67.6","20.6","8.8",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Business Korean
381","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Eighth Semester Korean
406","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"422","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"422","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"422","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"8th Semester Asian Language","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Japanese: AV Media
452","001","","22","3.636","68.2","18.2","4.5",".","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Advanced Chinese through Media
454","001","","15","3.600","60.0","13.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"475","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics: Asian Translation","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv. Reading in Asian Language
560","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
