"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","235","3.904","87.2","9.8","1.3","0.9","0.4","0.4",".",".",".",".",".",".",".",".",".","."
"","306
002","48","3.833","85.4","2.1","8.3","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","306
003","46","3.946","95.7","2.2",".",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","306
004","43","3.767","81.4","7.0","7.0","2.3",".",".","2.3",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","372","3.884","87.4","7.5","2.7","1.1","0.8","0.3","0.3",".",".",".",".",".",".",".",".","."
"","365
003","13","3.654","69.2","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","365
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","18","3.639","61.1","16.7","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","410
001","50","3.230","32.0","22.0","22.0","12.0","10.0","2.0",".",".",".",".",".",".",".",".",".","."
"","410
002","33","3.470","39.4","24.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","410
003","32","3.344","18.8","43.8","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","115","3.330","30.4","28.7","24.3","11.3","4.3","0.9",".",".",".",".",".",".",".",".",".","."
"Excel Modeling","411
001","74","3.426","32.4","32.4","24.3","9.5","1.4",".",".",".",".",".",".",".",".",".",".","."
"","412
001","66","3.447","34.8","25.8","33.3","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","412
002","39","3.513","33.3","35.9","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"ARGUS Modeling","Course Total","105","3.471","34.3","29.5","32.4","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","16","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","33","3.328","33.3","15.2","33.3","12.1","3.0",".",".",".",".",".",".",".","3.0",".",".","."
"Valuation of Real Estate","Course Total","49","3.385","34.7","18.4","34.7","8.2","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"","420
002","45","3.478","37.8","31.1","24.4","2.2","4.4",".",".",".",".",".",".",".",".",".",".","."
"","420
003","40","3.475","42.5","25.0","20.0","10.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"","420
004","32","3.359","21.9","46.9","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","420
005","12","3.292","25.0","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","129","3.430","34.1","32.6","22.5","7.0","3.9",".",".",".",".",".",".",".",".",".",".","."
"","425
001","43","3.628","46.5","34.9","16.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","38","3.395","23.7","44.7","18.4","13.2",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","81","3.519","35.8","39.5","17.3","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
001","26","3.596","46.2","26.9","26.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
002","22","3.432","22.7","40.9","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Est Investment Analysis","Course Total","48","3.521","35.4","33.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investment","540
001","30","3.793","63.3","26.7","6.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Private Equity Investment I","550
001","43","3.381","30.2","23.3","37.2","4.7","2.3",".",".",".",".",".",".",".",".",".","2.3","."
"Residentl Property Devlpmnt","611
001","50","3.520","18.0","68.0","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Capital Markets","640
001","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Green-Sustainable Development","651
001","30","4.000","96.7",".",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","44","3.659","45.5","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","19","3.500","31.6","42.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","29","3.517","44.8","24.1","20.7","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","27","3.833","74.1","22.2",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
