"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","209","3.065","17.2","31.1","24.9","13.4","7.7","3.8","1.4",".",".",".",".",".",".",".","0.5","."
"","101
002","334","3.090","23.7","24.6","21.6","15.6","11.4","2.1","1.2",".",".",".",".",".",".",".",".","."
"","101
003","327","3.183","31.8","21.7","19.3","13.1","10.7","3.1","0.3",".",".",".",".",".",".",".",".","."
"","101
004","253","3.192","22.9","23.7","25.7","24.1","2.8","0.4",".",".",".",".",".",".","0.4",".",".","."
"Principles-Microeconomics","Course Total","1123","3.136","24.7","24.8","22.4","16.4","8.5","2.3","0.7",".",".",".",".",".","0.1",".","0.1","."
"","102
001","80","3.203","26.3","18.8","26.3","23.8","3.8",".",".",".",".",".",".",".","1.3",".",".","."
"","102
002","309","3.379","52.8","14.6","12.9","6.8","7.1","5.8",".",".",".",".",".",".",".",".",".","."
"","102
003","254","3.246","24.0","24.8","33.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
004","12","2.625","8.3","25.0","25.0","16.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","655","3.295","37.6","19.2","22.7","11.0","6.3","2.9","0.2",".",".",".",".",".","0.2",".",".","."
"Quant Tools for Economics","205
001","33","3.742","66.7","21.2","6.1","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","12","2.458",".",".","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".","."
"","300
002","10","2.900","20.0","20.0","20.0",".","40.0",".",".",".",".",".",".",".",".",".",".","."
"","300
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","27","2.759","11.1","14.8","25.9","11.1","37.0",".",".",".",".",".",".",".",".",".",".","."
"","301
001","173","3.156","27.2","24.9","18.5","16.8","9.8","2.9",".",".",".",".",".",".",".",".",".","."
"","301
002","183","3.052","21.3","24.0","24.6","14.8","10.4","2.7","1.6",".",".",".",".",".","0.5",".",".","."
"Intmed Microeconomic Theory","Course Total","356","3.103","24.2","24.4","21.6","15.7","10.1","2.8","0.8",".",".",".",".",".","0.3",".",".","."
"","302
001","138","3.109","29.0","23.9","19.6","13.8","6.5","5.1","2.2",".",".",".",".",".",".",".",".","."
"","302
002","184","3.467","42.9","31.5","11.4","7.6","4.9","1.6",".",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","322","3.314","37.0","28.3","14.9","10.2","5.6","3.1","0.9",".",".",".",".",".",".",".",".","."
"","306
001","38","3.763","65.8","23.7","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","306
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","44","3.750","63.6","25.0","9.1","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","309
00A","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","309
00B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","309
00C","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad-Intermed Econ","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001","178","2.941","23.0","15.2","21.3","18.0","19.1","1.7","1.7",".",".",".",".",".",".",".",".","."
"","310
002","203","2.931","23.2","16.7","18.7","20.7","15.8","2.5","2.5",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","381","2.936","23.1","16.0","19.9","19.4","17.3","2.1","2.1",".",".",".",".",".",".",".",".","."
"Intmed Macroecon-Adv Treatment","312
001","27","3.481","51.9","22.2","7.4","7.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","6","3.167","16.7","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
