"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"Radiobiology
410","001","","7","3.867","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sen. Honors Thesis Hum Onc 2
682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis Human Oncology 2
692","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","156","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","159","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","161","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","162","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","164","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","202","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med
910","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tumor Immunol Cancer Immnthrpy
911","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Challenges in Oncology
912","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"922","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"922","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"922","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"922","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology","Course Total","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Human Cancer Bio","Course Total","","4","***","","","","","","","","","","","","","","","",""
