"CIVIL SOC & COMMUNITY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","",""
"Community and Social Change
125","001","","66","3.606","66.7","16.7","4.5","4.5","4.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"CNPL Leadership Symposium
254","001","","39","3.750","79.5",".","10.3","2.6","5.1",".",".","2.6",".",".",".",".",".",".",".","."
"Independent Study
299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Evaluation and Planning
345","001","","15","3.964","86.7","6.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"375","001","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","58","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundraising & Development
430","001","","42","3.845","90.5","2.4","4.8",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Entrepreneurialism and Society
455","001","","22","3.591","40.9","40.9","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Community Based Resrch & Eval
570","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Leadership Portfolio
600","001","","24","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Internship
601","001","","9","3.611","77.8",".",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Building Civil Society
775","001","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Community-Based Research
811","001","","20","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Transformative Evaluation
813","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","13","",".",".",".",".",".",".",".","92.3",".",".",".","7.7",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
