"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","311
001","18","3.912","77.8","16.7",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","311
002","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
004","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
005","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
006","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
007","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","123","3.889","81.3","13.8","4.1",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"Topics in Span Lang Pract","319
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","320
001","15","3.767","73.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","24","3.854","79.2","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","47","3.915","87.2","10.6",".","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","326
001","18","3.694","66.7","5.6","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","326
002","24","3.646","62.5","12.5","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","42","3.667","64.3","9.5","23.8",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Spanish Applied Linguistics","331
001","19","3.737","73.7","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","359
001","14","3.786","71.4","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","359
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Business Area Study","Course Total","38","3.921","89.5","7.9",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","361
001","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish in the United States","430
001","23","3.478","34.8","34.8","26.1",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Culture and the Environment","445
001","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Spanish Linguistics","446
001","25","3.480","36.0","36.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","460
001","17","3.382","41.2","11.8","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Short Story","461
001","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Poetry & Essay","464
001","26","3.769","80.8","3.8","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"US Latino Literature","467
001","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
002","24","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Topics in Hispanic Culture","Course Total","48","3.978","91.7","4.2",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Smr:Hispanic Lit/Cultr/Ling","470
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad-Hispanic Cultures","476
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin Am Perf/Visual Studies","480
001","22","3.364","36.4","31.8","9.1","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"Topics-Hispanic Linguistics","630
001","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Senior Honors Thesis","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Smr-Spanish American Lit","802
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 352 of 480",""
