"Summary by Level","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"S&A PHM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","3","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","6","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","4","***","","","","","","","","","","","","",".","",".","",".","25.0",".",".","."
"Undergraduates","15","3.769","66.7","13.3","13.3",".","",".",".","",".",".","",".",".","",".","",".","6.7",".",".","."
"Graduate","45","4.000","71.1",".",".",".","",".",".","",".","28.9","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","94","3.511","42.6","27.7","19.1","10.6","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","101","3.658","54.5","28.7","13.9","2.0","",".","1.0","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","240","3.622","47.1","33.8","15.8","3.3","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","4","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","439","3.595","47.8","31.0","16.2","4.8","",".","0.2","",".",".","",".",".","",".","",".",".",".",".","."
