"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","282","3.094","19.5","23.0","24.5","24.8","7.4","0.4","0.4",".",".",".",".",".",".",".",".","."
"","103
002","123","3.037","22.8","22.0","19.5","16.3","17.9","0.8","0.8",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","405","3.077","20.5","22.7","23.0","22.2","10.6","0.5","0.5",".",".",".",".",".",".",".",".","."
"","104
001","232","3.054","19.4","22.4","23.7","19.4","13.8","0.9",".","0.4",".",".",".",".",".",".",".","."
"","104
002","240","3.121","26.3","20.8","21.3","19.2","9.6","2.1","0.4","0.4",".",".",".",".",".",".",".","."
"","104
003","136","3.099","20.6","25.7","22.1","19.1","11.8",".","0.7",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","608","3.091","22.4","22.5","22.4","19.2","11.7","1.2","0.3","0.3",".",".",".",".",".",".",".","."
"Physics of Sports","106
001","130","3.528","60.0","15.4","7.7","4.6","4.6","1.5","2.3",".","0.8",".",".",".",".",".","3.1","."
"Ideas of Modern Physics","107
001","64","3.967","92.2",".","3.1",".",".",".",".","4.7",".",".",".",".",".",".",".","."
"","109
001","148","3.611","59.5","26.4","4.1","6.8","0.7","0.7","2.0",".",".",".",".",".",".",".",".","."
"","109
002","73","3.637","50.7","31.5","12.3","5.5",".",".",".",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","221","3.620","56.6","28.1","6.8","6.3","0.5","0.5","1.4",".",".",".",".",".",".",".",".","."
"Energy and Climate","115
001","37","3.597","51.4","21.6","18.9","2.7","2.7",".",".",".",".",".",".",".",".","2.7",".","."
"","201
001","196","3.110","15.8","31.6","26.5","10.7","15.3",".",".",".",".",".",".",".",".",".",".","."
"","201
002","164","2.905","11.0","27.4","23.2","15.9","20.1","1.2","1.2",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","360","3.017","13.6","29.7","25.0","13.1","17.5","0.6","0.6",".",".",".",".",".",".",".",".","."
"","202
001","158","2.706","12.0","23.4","17.7","11.4","25.3","8.2","1.9",".",".",".",".",".",".",".",".","."
"","202
002","287","2.899","15.3","22.3","22.6","13.9","22.3","3.1","0.3",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","445","2.830","14.2","22.7","20.9","13.0","23.4","4.9","0.9",".",".",".",".",".",".",".",".","."
"General Physics","207
002","157","3.102","21.0","23.6","31.2","14.6","6.4","0.6","2.5",".",".",".",".",".",".",".",".","."
"","208
001","125","3.180","25.6","23.2","29.6","9.6","9.6","2.4",".",".",".",".",".",".",".",".",".","."
"","208
002","159","3.101","23.3","19.5","27.7","22.0","5.0","0.6","1.9",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","284","3.136","24.3","21.1","28.5","16.5","7.0","1.4","1.1",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","8","3.125","12.5","12.5","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","58","3.836","82.8","8.6","5.2",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","247
001","27","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","50","3.750","66.0","20.0","12.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249
001","20","3.550","45.0","30.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Physics Today","301
001","59","3.981","89.8",".","1.7",".",".",".",".","5.1",".",".",".",".","3.4",".",".","."
"","307
001","19","3.658","63.2","21.1","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","307
002","15","3.857","73.3","13.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","34","3.742","67.6","17.6","5.9","2.9","2.9",".",".",".",".",".",".",".","2.9",".",".","."
"Mechanics","311
001","59","3.149","39.0","8.5","23.7","10.2","6.8","8.5",".",".",".",".",".",".","3.4",".",".","."
"Electromagnetic Fields","322
001","63","3.210","27.0","25.4","22.2","12.7","9.5","1.6",".",".",".",".",".",".","1.6",".",".","."
"Optics","325
001","26","3.712","50.0","42.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning in Physics","361
001","19","3.778","63.2","21.1","10.5",".",".",".",".",".",".",".",".",".","5.3",".",".","."
