"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"","601
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Perspectives, Contexts","Course Total","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","28","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Assessment","Course Total","43","3.919","83.7","16.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","612
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","612
005","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"User Experience Design 2","Course Total","39","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","31","3.935","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
002","15","3.714","73.3",".","13.3",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"Multicultural Lit for Youth","Course Total","22","3.786","77.3","4.5","9.1",".","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"Lit and Resources for Youth","631
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reference & Info Service","635
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
004","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
010","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
011","19","3.944","84.2","10.5",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","640
012","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
015","19","3.250","42.1","15.8","15.8","10.5",".","10.5",".",".",".",".",".",".","5.3",".",".","."
"","640
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
017","8","3.167","50.0",".","12.5",".",".",".","12.5",".",".",".",".",".","12.5",".","12.5","."
"","640
018","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","640
019","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
020","11","3.591","63.6","9.1","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","640
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
022","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
026","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
027","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","181","3.783","78.5","9.4","3.3","3.3",".","1.1","0.6",".",".",".",".",".","1.7","0.6","1.7","."
