"Second Semester Hebrew","102
001","","16","3.625","75.0","12.5","6.3",".","","",".","",".","6.3",".","",".","",".",".","",".","","",".",".",".","."
"Fourth Semester Hebrew","202
001","","6","4.000","100.0",".",".",".","","",".","",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Topics in Modern Hebrew Lit II","402
001","","2","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"442
HEBR-MOD","Dept. Total","","24","3.745","83.3","8.3","4.2","",".","",".","",".","4.2","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","6","3.917","83.3","16.7",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","6","3.833","83.3",".","16.7","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","20","3.722","85.0","5.0","5.0","",".","",".","",".","5.0","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","24","3.745","83.3","8.3","4.2","",".","",".","",".","4.2","",".","",".",".","",".","",".","",".",".",".","."
