"ART HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Dimensions of Material Culture
764","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"779","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"779","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tpcs: Arch. & Urbanism of Asia","Course Total","","3","***","","","","","","","","","","","","","","","",""
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","20","3.851","80.0",".","10.0",".",".",".",".",".",".",".",".",".","5.0",".","5.0","."
"Smr:Spec Topics-Art History
800","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Vis Cult: Topics in Vis Cult
802","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Smr-20th C Europn Art
856","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Material Culture
863","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Chinese Art
876","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","",".",".",".",".",".",".",".","81.3",".",".",".","18.8",".",".",".","."
