"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"","100
065","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
067","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
069","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
072","19","3.526","52.6","26.3","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","100
073","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
074","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
075","19","3.711","84.2",".","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","100
076","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
077","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
078","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
080","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
081","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
082","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
083","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
085","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
086","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
088","17","3.765","76.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","100
091","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
092","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
093","10","3.750","80.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to College Composition","Course Total","1118","3.823","81.8","10.6","3.8","1.0","1.2","0.6","0.7",".",".",".",".",".","0.4",".",".","."
"Intro-Theatre & Dramatic Lit","120
001","228","3.636","60.1","27.6","3.9","3.1","2.2","2.6","0.4",".",".",".",".",".",".",".",".","."
"Comm B Topics in English Lit","140
001","168","3.783","75.6","10.1","9.5","3.0",".",".","0.6",".",".",".",".",".","1.2",".",".","."
"American Dreamers","145
001","20","3.425","30.0","30.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","153
001","114","3.873","84.2","11.4","3.5",".",".",".","0.9",".",".",".",".",".",".",".",".","."
"","153
003","28","3.926","85.7","7.1","3.6",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Literature and the Environment","Course Total","142","3.883","84.5","10.6","3.5",".",".",".","0.7",".",".",".",".",".","0.7",".",".","."
"Literature and Medicine","156
001","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare","162
001","181","3.351","48.6","23.8","11.0","4.4","2.8","2.2","5.5",".",".",".",".",".",".",".","1.7","."
"Modern Literature","168
001","30","3.586","40.0","33.3","23.3",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","172
001","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","172
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatures of Native America","Course Total","19","3.842","84.2","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Multicultural Lit","173
002","28","3.333","35.7","32.1","10.7","3.6","10.7","3.6",".",".",".",".",".",".","3.6",".",".","."
"","174
001","29","3.845","82.8","3.4","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","174
002","32","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Social Justice","Course Total","61","3.877","82.0","11.5","6.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit & the Other Disciplines","175
002","19","3.868","89.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Literature and Film","176
001","188","3.697","70.7","16.5","4.8","2.7","3.2","1.6","0.5",".",".",".",".",".",".",".",".","."
"","177
001","25","3.480","36.0","48.0","4.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"","177
002","29","3.931","93.1",".","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
