"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"224","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Filipino","Course Total","","6","2.917","33.3","16.7","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Hmong
226","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"228","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"228","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Indonesian","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Fourth Semester Thai
230","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Vietnamese
232","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hindi
234","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Persian
238","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Urdu
240","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"302","001","","16","3.406","62.5",".","12.5","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"302","002","","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","Course Total","","33","3.530","54.5","18.2","15.2","3.0","9.1",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Korean
306","001","","14","3.750","78.6","7.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Hmong
326","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Indonesian
328","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Thai
330","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Vietnamese
332","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Tibetan
336","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Persian
338","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Urdu
340","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"356","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"356","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"356","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"356","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"356","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Asian","Course Total","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"358","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"358","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 192 of 480",""
