"Leadng People, Effctve Comm II","302
001","9","3.944","88.9","11.1","",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Leadrshp & Commissioning Prep","402
001","8","3.938","87.5","12.5","",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Leadership Laboratory II","502
001","58","",".",".","",".",".","",".","",".","",".","100.0",".","",".",".","",".","","",".",".",".","."
"102
A F AERO","Dept. Total","118","3.915","42.4","7.6","",".","0.8","",".","",".","",".","49.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","24","3.917","41.7","8.3","",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Junior","","48","3.924","45.8","4.2","",".","2.1","",".","",".","",".","47.9","",".",".","",".","",".","",".",".",".","."
"Senior","","30","3.946","43.3","6.7","",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","106","3.935","44.3","5.7","",".","0.9","",".","",".","",".","49.1","",".",".","",".","",".","",".",".",".","."
"Special","","12","3.750","25.0","25.0","",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","118","3.915","42.4","7.6","",".","0.8","",".","",".","",".","49.2","",".",".","",".","",".","",".",".",".","."
