"REAL ESTATE & URBAN LAND E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"Commercial Proprty Devlpmnt
750","001","","31","3.645","41.9","45.2","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law
760","001","","44","3.920","86.4","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"765","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"765","004","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","005","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","006","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","007","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","73","3.852","87.7","8.2","2.7","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Applied RE Investment II
842","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Private RE Equity Investment 3
852","001","","31","3.677","54.8","25.8","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Real Estate Finance Theory
870","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Research Seminar
978","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","142","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","218","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","","4","***","","","","","","","","","","","","","","","",""
