"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","632","002","","35","3.294","40.0","11.4","28.6","5.7","8.6","2.9",".",".",".",".",".",".","2.9",".",".","."
"Intro-Stochastic Processes","","Course Total","","52","3.350","46.2","13.5","21.2","3.8","7.7","1.9","1.9",".",".",".",".",".","1.9",".",".","1.9"
"Intro-Brownian Motn&Stoch Calc","635","001","","24","3.341","54.2","4.2","16.7",".","12.5",".","4.2","4.2",".",".",".",".",".",".","4.2","."
"Senior Honors Thesis","681","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","177","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","181","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","196","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","199","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","190","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","271","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math-2","704","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Fluid Dynamics","705","001","","28","3.464","67.9",".","14.3","7.1","7.1",".","3.6",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","710","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Computatnl Math II","715","001","","25","3.740","72.0","12.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Computation Methods","717","001","","40","3.938","92.5","2.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Partial Differential Equations","720","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","25","3.600","76.0",".","16.0",".","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","23","3.955","87.0","8.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","11","3.100","18.2","45.5","9.1","9.1",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"Integer Optimization","728","001","","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability II","734","001","","32","3.656","56.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","31","3.783","67.7","19.4","6.5","3.2",".",".",".","3.2",".",".",".",".",".",".",".","."
"Lie Algebras","747","001","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Ergodic Theory","758","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differentiable Manifolds","761","001","","26","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Computability Theory","773","001","","10","3.100","20.0","40.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","790","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","196","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Adv Topics - Harmonic Analysis","828","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","Page 297 of 480",""
