"PATHO-BIOLOGICAL SCIENCES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"Parasitology
350","001","","15","3.536","53.3","20.0","13.3",".",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"Sci Ethics Dis of Animal Rsrch
370","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Veterinary Parasitology
514","001","","94","3.883","83.0","11.7","4.3","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Reg Vet Med & Public Health
515","001","","95","3.863","77.9","16.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Active, Integrated Learning II
526","001","","92","4.000","95.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Veterinary Systemic Path II
561","001","","92","3.648","54.3","23.9","16.3","4.3",".",".",".",".",".",".",".",".","1.1",".",".","."
"Veterinary Clinic Pathology
562","001","","92","3.745","57.6","34.8","6.5","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Necropsy Diag Pathology
660","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","013","","186","",".",".",".",".",".",".",".","97.8",".",".",".",".","2.2",".",".","."
"675","016","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","218","",".",".",".",".",".",".",".","98.2",".",".",".",".","1.8",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","185","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","27","4.000","70.4",".",".",".",".",".",".","29.6",".",".",".",".",".",".",".","."
"Advanced Seminar
930","011","","21","3.905","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 473 of 480",""
