"BUS","","","","","","","","","","","","","","","","","","",""
"INFORMATION SYSTEMS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","",""
"Introduction to Databases","322
001","46","3.711","58.7","23.9","13.0","2.2",".",".",".",".",".",".",".",".","2.2",".",".","."
"Tech:Computer-Based Bus Sys","371
001","35","3.614","48.6","34.3","11.4","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","423
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","423
002","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Digital Platform Analytics","Course Total","13","3.385","38.5","30.8","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Systems Analysis and Design","424
001","51","3.637","49.0","33.3","13.7","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Text Analytics-Business App","723
010","29","3.931","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"234
INFO SYS","Dept. Total","174","3.682","57.5","26.4","11.5","2.3","1.7",".",".",".",".",".",".",".","0.6",".",".","."
