"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"Laboratory Medicine Customized
922","005","","39","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sickle cell disease
923","004","","38","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Immunohematology
924","011","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"926","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pathol:Cl Microbiol-Marshfl","Course Total","","2","***","","","","","","","","","","","","","","","",""
"960","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"960","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"960","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pathology for Surgeons","Course Total","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"962","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"962","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Molec Basis of Heme Malignanc","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Omics Data Analysis
970","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","107","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","125","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","147","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","148","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","149","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
