"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","94","",".",".",".",".",".",".",".","98.9",".",".",".",".","1.1",".",".","."
"Sm Animal Emrgncy&Crit Care I","576
001","42","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","95","4.000","81.1",".",".",".",".",".",".","18.9",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","94","3.489","35.1","38.3","20.2","2.1","4.3",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","95","3.358","27.4","27.4","38.9","2.1","4.2",".",".",".",".",".",".",".",".",".",".","."
"Swine Medicine","635
001","95","3.779","68.4","20.0","10.5","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","14","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","15","4.000","53.3",".",".",".",".",".",".","46.7",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","15","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","670
001","30","4.000","73.3",".",".",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"","670
002","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","43","4.000","79.1",".",".",".",".",".",".","20.9",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","47","4.000","78.7",".",".",".",".",".",".","21.3",".",".",".",".",".",".",".","."
"","675
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
007","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
009","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
021","95","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","95","4.000","82.1",".",".",".",".",".",".","17.9",".",".",".",".",".",".",".","."
"","675
027","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
030","94","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
031","92","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
033","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
049","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
054","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
055","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
058","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","466","4.000","25.8",".",".",".",".",".",".","74.2",".",".",".",".",".",".",".","."
"","678
001","41","4.000","68.3",".",".",".",".",".",".","31.7",".",".",".",".",".",".",".","."
"","678
002","10","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","51","4.000","64.7",".",".",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
104","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
144","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","21","4.000","19.0",".",".",".",".",".",".","81.0",".",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","11","4.000","18.2",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","."
"","710
001","25","4.000","28.0",".",".",".",".",".",".","72.0",".",".",".",".",".",".",".","."
"","710
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 471 of 480",""
