"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Intro to Exercise Psychology","350","001","","49","3.939","93.9","4.1",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Soc-Cult of Phys Act","355","001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","","33","3.909","87.9","6.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","57","3.623","52.6","33.3","7.0",".","7.0",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pln, Fac, Assess Mvmt & Hlth","370","001","","74","3.892","82.4","13.5","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods and Prac of PK-5 PE","372","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Young Athlete Exer & Medicine","387","001","","92","3.819","82.6","7.6","5.4",".","1.1","2.2",".",".",".",".",".",".",".",".","1.1","."
"Princpls-Exercise Leadershp","390","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","025","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","32","3.956","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fitness Test & Exer Prescript","427","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Athl Healthcare Contemp Persp","487","001","","59","3.905","79.7","18.6",".",".",".",".",".",".",".",".",".",".",".","1.7",".","."
"Theory Health Programs","501","001","","28","3.857","75.0","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","508","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Phys Act for Diverse Abilities","516","001","","21","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","521","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","","40","3.725","57.5","30.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neural Control of Movement","531","001","","54","3.824","72.2","20.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sports Sci & Athlete Monitor","555","001","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","566","001","","42","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","566","002","","33","3.879","81.8","12.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promoting Community Health","","Course Total","","75","3.893","84.0","10.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
