"Public Engagement with Science","733
001","","8","4.000","100.0",".",".",".","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"Sci, Technol & Med in Society","901
001","","10","3.889","80.0",".","10.0",".","",".","",".","",".",".","",".","",".",".","",".","","10.0",".",".","."
"Topics-Sci&Technology Studies","903
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"875
STS","Dept. Total","","98","3.706","60.2","25.5","10.2","",".","3.1","",".","",".","",".","",".",".","",".","",".","1.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","9","3.611","44.4","33.3","22.2","",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","26","3.538","38.5","38.5","19.2","",".","3.8","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","44","3.727","63.6","27.3","4.5","",".","4.5","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","79","3.652","53.2","31.6","11.4","",".","3.8","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","19","3.944","89.5",".","5.3","",".",".","",".","",".","",".","",".",".","",".","",".","5.3",".",".","."
"","Dept. Total","","98","3.706","60.2","25.5","10.2","",".","3.1","",".","",".","",".","",".",".","",".","",".","1.0",".",".","."
