"Student Teaching in Elem Art","423
001","","20","",".",".",".",".","",".",".","",".",".","",".","","100.0",".","",".","","",".",".",".","."
"Student Teaching in Sec Art","424
001","","20","",".",".",".",".","",".",".","",".",".","",".","","100.0",".","",".","","",".",".",".","."
"Seminar in Art Education","425
001","","19","3.974","94.7","5.3",".",".","",".",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"176
ART ED","Dept. Total","","73","3.803","39.7","1.4","1.4","",".","1.4","1.4","",".","",".","",".","54.8","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","7","3.714","85.7",".",".","",".","14.3",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","49","3.786","36.7","2.0","2.0","",".",".","2.0","",".","",".","",".","57.1","",".","",".","",".",".",".","."
"Undergraduates","","","56","3.768","42.9","1.8","1.8","",".","1.8","1.8","",".","",".","",".","50.0","",".","",".","",".",".",".","."
"Special","","","17","4.000","29.4",".",".","",".",".",".","",".","",".","",".","70.6","",".","",".","",".",".",".","."
"","Dept. Total","","73","3.803","39.7","1.4","1.4","",".","1.4","1.4","",".","",".","",".","54.8","",".","",".","",".",".",".","."
