"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Psych Effects of the Internet","532
001","181","3.425","54.7","19.3","9.9","2.8","8.3","2.8","2.2",".",".",".",".",".",".",".",".","."
"","601
001","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","23","3.543","47.8","39.1","4.3",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","601
003","22","3.682","63.6","18.2","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","601
004","21","3.619","61.9","14.3","9.5","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","601
005","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
006","24","3.542","66.7","4.2","20.8","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"","601
007","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
008","25","3.771","64.0","20.0","12.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","601
009","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
00B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
010","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","601
011","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
012","25","3.800","76.0","16.0",".","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","601
013","10","3.600","60.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","264","3.784","75.4","13.3","6.1","3.0","0.8","0.4","0.4",".",".",".",".",".","0.8",".",".","."
"Intro to Psychotherapy","607
001","25","3.720","64.0","16.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Systems Neuroscience","611
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
008","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
009","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
010","24","3.962","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
014","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
017","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
022","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
035","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
039","23","3.955","95.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","621
040","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
045","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
047","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
058","7","3.700","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","621
061","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
065","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","621
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","621
072","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","Page 331 of 480",""
