"CHEMICAL & BIOLOGICAL ENG","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","21","3.950","90.5",".","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Intro to Chemical Engineering","150","001","","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","001","","36","2.875","13.9","16.7","25.0","25.0","16.7","2.8",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","54","3.019","25.9","20.4","22.2","13.0","11.1","5.6","1.9",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","48","2.938","12.5","14.6","41.7","18.8","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","52","3.010","25.0","28.8","11.5","11.5","15.4","5.8","1.9",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","45","3.033","20.0","24.4","20.0","17.8","15.6","2.2",".",".",".",".",".",".",".",".",".","."
"","324","001","","14","3.321","35.7","35.7","14.3",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","324","002","","16","3.531","37.5","31.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","16","3.531","31.3","43.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","16","3.344","37.5","25.0","25.0","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","62","3.435","35.5","33.9","24.2","1.6","1.6","3.2",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","72","3.139","27.8","15.3","25.0","23.6","6.9","1.4",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","24","3.125","20.8","33.3","8.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","22","3.310","36.4","22.7","22.7",".","9.1","4.5",".",".",".",".",".",".","4.5",".",".","."
"Chemical Engineering Matl","440","001","","30","3.600","46.7","33.3","16.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","70","3.657","61.4","17.1","20.0",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","002","","63","3.419","30.2","36.5","20.6","7.9","3.2",".",".",".",".",".",".",".","1.6",".",".","."
"","489","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Industrial Chem and Business","505","001","","20","3.250","35.0","15.0","20.0","10.0","5.0","5.0",".","10.0",".",".",".",".",".",".",".","."
"Energy Tech and Sustainability","512","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Heterogeneous Catalysis","535","001","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","24","3.292","29.2","20.8","33.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro to Colloid&Interface Sci","547","001","","10","3.444","30.0","30.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Chem Eng and the Community","554","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","15","3.884","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","006","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Spec Topics in ChE","","Course Total","","27","3.932","81.5","14.8",".",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"","599","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","9","3.942","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","024","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","Page 122 of 480",""
