"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","","",""
"Backstage Laboratory II","361
001","10","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Script Analysis","367
001","16","3.875","87.5",".","12.5",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Intro to Stage Management","379
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"History of Theatres&Staging","431
001","24","3.955","83.3","8.3",".",".",".",".",".",".",".","",".",".","",".","","8.3",".",".","."
"Costume Technology Topics","464
001","11","3.597","27.3","54.5","9.1",".",".",".",".",".",".","",".",".","",".","","9.1",".",".","."
"Stage Lighting Design II","466
001","7","3.587","57.1","14.3","14.3","14.3",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Backstage Laboratory III","561
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Internship in Theatre","597
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Theories of Acting","631
001","15","2.900","33.3",".","13.3","33.3","13.3","6.7",".",".",".","",".",".","",".","",".",".",".","."
"Advanced Production Practicum","661
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
003","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"942
THEATRE","Dept. Total","900","3.721","74.9","11.6","5.4","2.3","3.0","0.6","1.2","0.2","",".","0.1","",".","",".","0.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","118","3.653","68.6","13.6","8.5","3.4","3.4","0.8","0.8",".","",".",".","",".","",".","0.8",".",".","."
"Sophomore","","232","3.726","75.0","12.9","4.7","2.6","3.0","0.4","1.3",".","",".",".","",".","",".",".",".",".","."
"Junior","","181","3.683","71.8","12.2","6.1","4.4","2.2",".","2.2",".","",".",".","",".","",".","1.1",".",".","."
"Senior","","351","3.778","79.5","9.4","4.6","0.9","3.1","0.9","0.6",".","",".","0.3","",".","",".","0.9",".",".","."
"Undergraduates","","882","3.727","75.3","11.5","5.4","2.4","2.9","0.6","1.1",".","",".","0.1","",".","",".","0.7",".",".","."
"Special","","15","3.297","53.3","13.3","6.7",".","6.7",".","6.7","13.3","",".",".","",".","",".",".",".",".","."
"Graduate","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","900","3.721","74.9","11.6","5.4","2.3","3.0","0.6","1.2","0.2","",".","0.1","",".","",".","0.7",".",".","."
