"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"941","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"942","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"942","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship Postsecondary Teach","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Internship in Rehb Couns Ed II
955","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Meth Disability&RehabRsrch
985","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reh Coun Ed - Diss Resrch Sem
988","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Reading
999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"194
RP & SE","Dept. Total","","1693","3.935","91.4","4.5","1.2","0.6","0.8","0.1","0.1","0.9",".",".",".",".","0.3",".","0.1","."
