"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","201","3.177","22.9","34.3","18.9","12.9","7.5","2.0","1.5",".",".",".",".",".",".",".",".","."
"","300
002","163","3.102","24.5","31.3","18.4","11.0","6.1","5.5","2.5",".",".",".",".",".",".",".","0.6","."
"","300
003","80","3.219","27.5","32.5","18.8","11.3","5.0","3.8","1.3",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","444","3.157","24.3","32.9","18.7","11.9","6.5","3.6","1.8",".",".",".",".",".",".",".","0.2","."
"","305
001","30","3.583","56.7","26.7","6.7","3.3","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"","305
002","49","3.857","73.5","24.5","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","49","3.194","12.2","36.7","30.6","18.4","2.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","128","3.539","46.1","29.7","14.1","7.8","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"","310
001","30","3.850","73.3","23.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","49","3.184","18.4","26.5","34.7","14.3","6.1",".",".",".",".",".",".",".",".",".",".","."
"","310
003","43","3.349","23.3","39.5","23.3","11.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"","310
100","10","3.450","50.0","20.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","132","3.409","34.8","29.5","21.2","11.4","3.0",".",".",".",".",".",".",".",".",".",".","."
"","355
001","25","3.820","80.0","12.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","355
002","39","3.577","38.5","43.6","12.8","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","355
003","34","3.632","44.1","41.2","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","355
004","42","3.905","85.7","11.9",".","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","355
005","46","3.902","80.4","19.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
006","44","3.852","79.5","13.6","4.5","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","230","3.789","68.7","23.5","5.2","2.2","0.4",".",".",".",".",".",".",".",".",".",".","."
"","365
005","25","3.760","68.0","16.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
007","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","365
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","54","3.783","74.1","16.7","7.4","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","17","3.118","23.5","17.6","23.5","29.4","5.9",".",".",".",".",".",".",".",".",".",".","."
"","410
002","40","3.463","42.5","25.0","17.5","12.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Sports Marketing","Course Total","57","3.360","36.8","22.8","19.3","17.5","3.5",".",".",".",".",".",".",".",".",".",".","."
"","421
001","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","34","3.500","50.0","26.5","8.8","8.8","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","48","3.563","52.1","27.1","10.4","6.3","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"","423
001","33","3.621","51.5","30.3","12.1","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"","423
002","26","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","Course Total","59","3.619","45.8","37.3","13.6","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Sales Strategy and Management","424
001","37","3.419","35.1","35.1","16.2","5.4","8.1",".",".",".",".",".",".",".",".",".",".","."
"","427
001","39","3.833","71.8","23.1","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427
002","34","3.721","55.9","32.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","Course Total","73","3.781","64.4","27.4","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","430
001","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","430
100","28","3.339","35.7","35.7","14.3","3.6","7.1",".","3.6",".",".",".",".",".",".",".",".","."
"Strategic Pricing","Course Total","36","3.375","38.9","33.3","13.9","2.8","8.3",".","2.8",".",".",".",".",".",".",".",".","."
"","437
001","36","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 63 of 480"
