"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"Adolescent Development
721","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt
741","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs
742","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design of Single-Case Research
743","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design/Manage Learning Env
745","001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"761","001","","36","3.958","94.4","2.8","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"761","002","","22","3.952","90.9",".","4.5",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Stat Meth-Applied to Ed II","Course Total","","58","3.956","93.1","1.7","3.4",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"Qual Rsch Mthds-Educ: Field I
788","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Learning Sciences II
796","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ
822","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beg Practicum in School Psych
828","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Practicum School Psych
829","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"830","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"830","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Practicum School Psych","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv. Practicum School Psych
840","001","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Capstone Smr in Prevention Sci
881","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sysms-Consltn in Schl Psych
942","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"943","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"943","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Assess&Interven Techniques
946","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Evidence-based Chld Psychother
947","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Equation Modeling
960","001","","28","3.926","89.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","3.6","."
"Hierarchical Linear Modeling
964","001","","30","3.897","86.7",".","10.0",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"990","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".","14.3",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
