"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Finc'l Life Skills Undergrads","111
001","271","3.838","84.5","9.6","0.7","1.8","0.4","1.8","0.4","0.4",".",".",".",".",".",".","0.4","."
"Consuming Happiness","173
001","114","3.743","64.0","17.5","11.4","1.8","0.9",".",".","4.4",".",".",".",".",".",".",".","."
"","201
001","34","3.721","64.7","20.6","8.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","85","3.688","52.9","37.6","4.7","3.5","1.2",".",".",".",".",".",".",".",".",".",".","."
"","201
003","86","3.791","70.9","20.9","3.5","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201
004","88","3.619","56.8","21.6","11.4","9.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"Consumer Insights","Course Total","293","3.701","60.8","25.9","6.8","5.8","0.7",".",".",".",".",".",".",".",".",".",".","."
"","250
002","277","3.856","84.8","6.9","5.1","1.1","2.2",".",".",".",".",".",".",".",".",".",".","."
"","250
102","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Retail Leadership Symposium","Course Total","280","3.856","84.3","6.8","5.0","1.1","2.1",".",".","0.7",".",".",".",".",".",".",".","."
"","251
001","85","3.818","80.0","10.6","3.5","4.7","1.2",".",".",".",".",".",".",".",".",".",".","."
"","251
002","34","3.662","73.5","5.9","2.9","14.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","251
102","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","Course Total","125","3.782","78.4","8.8","3.2","7.2","1.6",".",".","0.8",".",".",".",".",".",".",".","."
"Cons Fin Svcs Innovation","255
001","36","3.444","33.3","33.3","25.0","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"","257
001","115","3.761","70.4","16.5","7.8","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"","257
002","125","3.744","67.2","19.2","9.6","3.2","0.8",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Retail","Course Total","240","3.752","68.8","17.9","8.8","4.2","0.4",".",".",".",".",".",".",".",".",".",".","."
"","275
001","84","3.857","82.1","9.5","6.0","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","81","3.877","79.0","17.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","80","3.819","73.8","16.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
103","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Finance","Course Total","250","3.851","78.0","14.4","6.4","0.8",".",".",".","0.4",".",".",".",".",".",".",".","."
"Independent Study","299
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","301
001","23","3.152","26.1","39.1","8.7","8.7","8.7","8.7",".",".",".",".",".",".",".",".",".","."
"","301
002","35","3.400","22.9","51.4","11.4","11.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"","301
102","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Analytics","Course Total","61","3.317","24.6","45.9","9.8","9.8","4.9","3.3",".","1.6",".",".",".",".",".",".",".","."
"","355
001","59","3.551","49.2","23.7","18.6","5.1","3.4",".",".",".",".",".",".",".",".",".",".","."
"","355
002","57","3.693","59.6","26.3","10.5",".","3.5",".",".",".",".",".",".",".",".",".",".","."
"","355
003","25","3.500","68.0","16.0","4.0","4.0",".",".","8.0",".",".",".",".",".",".",".",".","."
"Financial Coaching","Course Total","141","3.599","56.7","23.4","12.8","2.8","2.8",".","1.4",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360
001","46","3.467","37.0","37.0","13.0","6.5","2.2","2.2",".",".",".",".",".",".","2.2",".",".","."
"Families & Poverty","465
001","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
001","51","3.755","62.7","29.4","5.9",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","477
002","44","3.580","50.0","25.0","20.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","477
102","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","Course Total","103","3.665","56.3","27.2","12.6","1.0","2.9",".",".",".",".",".",".",".",".",".",".","."
"","501
00A","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
00B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
