"Summary by Level","#","","Ave","A","AB","B","BC","","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PORTUG","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","8","3.710","62.5","12.5","25.0","",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","8","2.966","12.5","25.0","37.5","",".","25.0","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","24","3.524","58.3","16.7","16.7","",".","4.2","",".","4.2",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","41","3.452","48.8","19.5","22.0","",".","7.3","",".","2.4",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","11","3.741","54.5","18.2","9.1","",".",".","",".",".","18.2","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
