"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","309
001","13","2.958","15.4","30.8",".","23.1","23.1",".",".",".",".",".",".",".","7.7",".",".","."
"","309
002","11","3.000","36.4",".","27.3","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","24","2.978","25.0","16.7","12.5","20.8","16.7","4.2",".",".",".",".",".",".","4.2",".",".","."
"Intro to Prob & Math Stat II","310
002","13","3.731","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","319
001","90","3.205","36.7","12.2","25.6","12.2","7.8","1.1","2.2",".",".",".",".",".","2.2",".",".","."
"","320
001","120","3.267","44.2","15.8","21.7","4.2","8.3","2.5","3.3",".",".",".",".",".",".",".",".","."
"","320
002","117","3.215","34.2","14.5","28.2","8.5","8.5","2.6","0.9",".",".",".",".",".","2.6",".",".","."
"","320
003","107","3.117","31.8","15.9","22.4","11.2","15.9","1.9","0.9",".",".",".",".",".",".",".",".","."
"","320
004","100","3.020","32.0","13.0","28.0","7.0","8.0","8.0","3.0",".",".",".",".",".","1.0",".",".","."
"","320
005","114","2.956","23.7","18.4","25.4","9.6","15.8","1.8","4.4",".",".",".",".",".","0.9",".",".","."
"","320
006","23","2.957","26.1","21.7","26.1","4.3","8.7","8.7","4.3",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","581","3.113","33.0","15.8","25.1","7.9","11.2","3.4","2.6",".",".",".",".",".","0.9",".",".","."
"Appl Mathematical Analysis","321
001","78","3.214","43.6","14.1","12.8","12.8","10.3","2.6","2.6",".",".",".",".",".",".",".","1.3","."
"Appl Mathematical Analysis","322
001","19","3.263","26.3","26.3","26.3","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Introductory Probability","331
001","52","3.019","36.5","9.6","28.8","5.8","7.7","5.8","5.8",".",".",".",".",".",".",".",".","."
"","340
001","174","2.859","27.0","10.3","24.7","10.3","14.4","6.3","4.6",".",".",".",".",".","2.3",".",".","."
"","340
002","154","3.075","35.1","14.3","18.8","9.7","15.6","5.2","1.3",".",".",".",".",".",".",".",".","."
"","340
003","110","2.886","23.6","11.8","32.7","9.1","11.8","8.2","2.7",".",".",".",".",".",".",".",".","."
"","340
004","124","2.954","33.1","5.6","21.8","9.7","20.2","4.0","2.4",".",".",".",".",".","3.2",".",".","."
"","340
005","152","2.993","30.9","13.8","21.7","7.2","17.1","5.9","2.0",".",".",".",".",".","1.3",".",".","."
"Elem Matrix & Linear Algebra","Course Total","714","2.955","30.1","11.3","23.5","9.2","15.8","5.9","2.7",".",".",".",".",".","1.4",".",".","."
"","341
001","26","3.192","26.9","11.5","53.8","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"","341
002","22","3.886","86.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
004","31","3.500","64.5","3.2","16.1","6.5","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"Linear Algebra","Course Total","79","3.506","58.2","6.3","26.6","3.8","2.5","1.3","1.3",".",".",".",".",".",".",".",".","."
"Topics-Multi-Var Calc&Diff Eq","376
001","42","3.476","47.6","23.8","14.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","390
027","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
074","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
151","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
183","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
193","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
195","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
198","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
205","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
268","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
269","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","390
270","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Research - MXM","Course Total","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","421
001","30","3.283","60.0","3.3","16.7",".","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"","421
002","35","3.086","40.0","8.6","20.0","8.6","14.3","8.6",".",".",".",".",".",".",".",".",".","."
"","421
003","24","2.938","20.8","20.8","16.7","16.7","20.8","4.2",".",".",".",".",".",".",".",".",".","."
