"BIOLOGICAL SYSTEMS ENGINE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Career Management-Engineers
308","001","","53","3.736","86.8",".","1.9","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Proj Econ & Decsn Analysis
310","001","","32","2.578","9.4","9.4","15.6","31.3","31.3",".","3.1",".",".",".",".",".",".",".",".","."
"Quant Technqs-Biological Systm
349","001","","34","3.515","58.8","11.8","8.8","14.7","5.9",".",".",".",".",".",".",".",".",".",".","."
"Engr Prop-Food & Biol Matls
364","001","","9","2.944","22.2","22.2","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Measrmt&Instrumntn-Biol Sys
365","001","","40","3.125","30.0","5.0","40.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"367","001","","86","3.688","61.6","20.9","12.8","1.2","1.2","1.2",".",".",".",".",".",".",".",".","1.2","."
"367","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","87","3.686","60.9","21.8","12.6","1.1","1.1","1.1",".",".",".",".",".",".",".",".","1.1","."
"Coord Intrnshp/Cooprtv Educ
399","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intel & Autom in Ag
405","001","","14","3.536","28.6","57.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Biorefining: Energy & Products
460","001","","13","3.346","30.8","7.7","61.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Heat and Mass Transfer
464","001","","9","2.889","33.3","11.1","11.1","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Sedmnt & Bio-Nutr Engr&Mgmt
472","001","","20","2.925","20.0","10.0","30.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"476","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"476","002","","12","3.208","33.3","16.7","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"Engr Princpl Off-Road Vehicles","Course Total","","19","3.395","42.1","21.1","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Biol Sys Engr Dsgn Practicum I
508","002","","30","3.933","90.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Watershed Engineering
571","001","","25","3.146","32.0","20.0","16.0","8.0","16.0","4.0",".","4.0",".",".",".",".",".",".",".","."
"Special Problems
699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Graduate Research Seminar
901","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","Page 3 of 480"
