"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","216","3.591","63.9","17.1","7.4","4.6","2.3","1.9","1.9","0.9",".",".",".",".",".",".",".","."
"Topics in Sociolinguistics","213","001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Historical Linguistics","303","001","23","3.952","87.0",".","4.3",".",".",".",".","4.3",".",".",".",".","4.3",".",".","."
"Morphology","322","001","38","3.526","55.3","23.7","7.9","7.9","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"Syntax","330","001","30","3.100","33.3","3.3","40.0","3.3","16.7","3.3",".",".",".",".",".",".",".",".",".","."
"Semantics","340","001","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Sign Language 1","351","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Sign Language 2","352","001","18","3.833","88.9",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","373","002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","373","004","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Linguistics","","Course Total","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phonological Theories","510","001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syntactic Theories","530","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Structure of a Language","571","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone in Linguistics","690","001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"Seminar","977","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","999","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
