"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"Archaeology & Prehist World","102","001","122","3.150","22.1","27.9","27.9","5.7","8.2","1.6","2.5",".",".",".",".",".",".",".","4.1","."
"","104","001","470","3.795","75.3","16.4","4.9","1.7","0.6","0.6","0.4",".",".",".",".",".",".",".",".","."
"","104","002","463","3.904","88.8","7.8","1.5","0.6","0.4","0.2","0.4",".",".",".",".",".",".",".",".","0.2"
"Cult Anthro&Human Diversity","","Course Total","933","3.849","82.0","12.1","3.2","1.2","0.5","0.4","0.4",".",".",".",".",".",".",".",".","0.1"
"","105","001","169","3.204","28.4","18.9","34.9","6.5","8.9","1.8","0.6",".",".",".",".",".",".",".",".","."
"","105","002","286","3.265","28.7","21.0","38.5","3.8","5.2","1.7","0.7",".",".",".",".",".",".",".","0.3","."
"Principles - Biological Anthro","","Course Total","455","3.242","28.6","20.2","37.1","4.8","6.6","1.8","0.7",".",".",".",".",".",".",".","0.2","."
"Principles of Archaeology","212","001","63","3.825","85.7","6.3","3.2",".","3.2","1.6",".",".",".",".",".",".",".",".",".","."
"Caribbean Music and Culture","237","001","13","3.577","61.5","23.1","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Culture and Health","265","001","36","3.222","25.0","30.6","30.6","2.8","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310","001","17","3.500","47.1","11.8","17.6","5.9","5.9",".",".","5.9",".",".",".",".",".","5.9",".","."
"","310","002","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","","Course Total","31","3.724","67.7","9.7","9.7","3.2","3.2",".",".","3.2",".",".",".",".",".","3.2",".","."
"The Origins of Civilization","322","001","87","3.789","67.8","11.5","5.7",".","1.1",".","1.1","12.6",".",".",".",".",".",".",".","."
"Topics in Ethnology","330","001","20","3.737","55.0","30.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","14","3.286","57.1",".","21.4",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","24","3.458","37.5","29.2","25.0","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","17","3.594","41.2","29.4","23.5",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","490","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychological Anthropology","545","001","23","3.706","47.8","8.7","17.4",".",".",".",".","8.7",".",".",".",".","17.4",".",".","."
"Problems in Anthropology","690","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","078","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","078","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Fund Anthropological Theory","900","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Anthropology of Gender","920","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Econ Chng-Underdev Area","925","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Archaeological Problems","942","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","027","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","041","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 183 of 480",""
