"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"Design Practicum","170
001","146","3.935","88.4","10.3","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Leadership Cmptence in Eg","303
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","23","3.413","13.0","56.5","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","23","3.217","13.0","21.7","60.9","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","23","3.522","26.1","52.2","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
006","25","3.540","28.0","52.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
007","25","3.240",".","52.0","44.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","21","3.368","28.6","19.0","33.3","9.5",".",".",".",".",".",".",".",".","9.5",".",".","."
"","397
009","20","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","21","3.619","28.6","66.7","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","21","3.357","19.0","42.9","33.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
013","20","3.350","20.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
017","22","3.773","68.2","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
018","21","3.714","61.9","23.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
019","22","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
020","22","3.727","50.0","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
021","22","3.773","59.1","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
022","22","3.705","63.6","22.7","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Communication","Course Total","435","3.619","45.7","34.5","16.8","2.3","0.2",".",".",".",".",".",".",".","0.5",".",".","."
"","601
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Interdis Engineering","Course Total","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Collaborative Capstone II","941
001","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
