"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","Dept. Total","118","4.000","62.7","",".","",".","",".","",".","",".","",".","32.2","",".",".","",".","5.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","3","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Senior","","10","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","15","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","101","4.000","58.4","",".","",".","",".","",".","",".","",".","35.6","",".",".","",".","5.9","",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"","Dept. Total","118","4.000","62.7","",".","",".","",".","",".","",".","",".","32.2","",".",".","",".","5.1","",".",".",".","."
