"FOREST AND WILDLIFE ECOLO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"699","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mulitivar Analysis Ecol Data
711","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Landscape Ecology
879","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","014","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","13","",".",".",".",".",".",".",".","23.1",".",".",".","76.9",".",".",".","."
"990","054","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Research and Thesis","Course Total","","73","",".",".",".",".",".",".",".","60.3",".",".",".","39.7",".",".",".","."
"Advanced Independent Study
999","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
