"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"","102
001","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","20","3.525","60.0","25.0","5.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","102
003","","11","3.850","72.7","9.1","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","102
004","","18","3.722","72.2","22.2",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Second Semester Chinese","Course Total","","66","3.715","69.7","19.7","4.5",".",".","4.5",".",".",".",".",".",".","1.5",".",".","."
"","104
001","","10","3.450","60.0","10.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","104
003","","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","","15","3.464","40.0","33.3","13.3",".",".","6.7",".",".",".",".",".",".","6.7",".",".","."
"","104
005","","13","3.462","38.5","46.2","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","104
006","","17","3.438","47.1","23.5",".","11.8","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"","104
007","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
008","","12","3.667","66.7","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Japanese","Course Total","","94","3.565","52.1","26.6","8.5","5.3","3.2","2.1",".","1.1",".",".",".",".","1.1",".",".","."
"","106
001","","18","3.706","66.7","11.1","11.1",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","106
002","","16","3.719","68.8","18.8","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","106
003","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
004","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Korean","Course Total","","72","3.852","81.9","9.7","4.2",".","2.8",".",".","1.4",".",".",".",".",".",".",".","."
"First Semester Elem Japanese","113
001","","22","3.881","81.8","9.1",".","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Second Semester Filipino","124
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hmong","126
001","","15","3.633","73.3","6.7","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Indonesian","128
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","130
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Vietnamese","132
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hindi","134
001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Modern Tibetan","136
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Persian","138
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Urdu","140
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
002","","15","3.633","66.7","20.0",".",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","202
003","","22","3.727","68.2","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","Course Total","","54","3.759","72.2","16.7","5.6","1.9","3.7",".",".",".",".",".",".",".",".",".",".","."
"","204
001","","15","3.500","46.7","33.3","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","204
002","","19","3.842","78.9","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","18","3.528","50.0","22.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","Course Total","","52","3.635","59.6","23.1","7.7","7.7",".","1.9",".",".",".",".",".",".",".",".",".","."
"","206
001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","206
002","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Korean","Course Total","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 191 of 480",""
