"TERM : 1244","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar",""
"Spring 2023-2024","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL GENETICS","Section
#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eukaryotic Molecular Biology","620
001
1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"Cancer Genetics","662
001
3","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"Advanced Topics in Genetics","677
001
1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"Methods&Logic-Genetic Analysis","708
001
1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".   
."
"616
MD GENET","Dept. Total
6","3.667","50.0","33.3","16.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".  
."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"Undergraduates","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"Graduate","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".  
."
"","Dept. Total
6","3.667","50.0","33.3","16.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".  
."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","","","","","","","Page 397 of 480"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Please note: The Law School uses a non-standard grade scale. Some of these grades cannot be mapped to our standard A/B, BC grading scale and are therefore excluded from this","","","","","","","","","","","","","","","","","","","","","","","","","",""
"report..","","","","","","","","","","","","","","","","","","","","","","","","","",""
