"ASIAN LANGUAGES AND CULTU Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","","",""
"Gateway to Asia Special Topics","100","001","80","3.481","43.8","31.3","13.8","7.5","1.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"Intro to E Asian Hist - Korea","108","001","9","3.500","55.6","11.1","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Asia Enchanted","236","001","112","3.708","74.1","7.1","4.5","4.5","5.4","0.9",".","2.7",".",".",".",".","0.9",".",".","."
"SE Asian Refugees of Cold War","246","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Indian Society","252","001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","17","3.000","47.1","5.9","17.6","5.9","5.9","11.8","5.9",".",".",".",".",".",".",".",".","."
"Tibetan Cultures & Traditions","268","001","47","3.989","95.7","2.1",".",".",".",".",".",".",".",".",".",".",".",".","2.1","."
"Directed Study","299","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","001","90","3.722","65.6","23.3","6.7","3.3",".",".","1.1",".",".",".",".",".",".",".",".","."
"","300","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Asian Studies","","Course Total","92","3.712","64.1","23.9","7.6","3.3",".",".","1.1",".",".",".",".",".",".",".",".","."
"Social Studies Topics in EAS","301","001","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","308","001","42","3.695","78.6","7.1","7.1",".",".",".","4.8","2.4",".",".",".",".",".",".",".","."
"Hist-China 589 AD-1919","337","001","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Chinese Lit","352","001","75","3.438","40.0","28.0","14.7","9.3","4.0","1.3",".","1.3",".",".",".",".","1.3",".",".","."
"Japanese Ghost Stories","357","001","101","3.614","68.3","10.9","12.9","1.0","4.0","1.0","2.0",".",".",".",".",".",".",".",".","."
"Haiku","367","001","23","3.304","47.8","26.1","8.7",".","8.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"Manga","376","001","12","3.500","58.3","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Southeast Asian Literature","403","001","70","3.979","98.6",".",".","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Gods and Goddesses of South As","405","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Visual Cultures of India","428","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Chinese Linguistics","432","001","14","3.607","57.1","21.4","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Topics-E Asian Visual Cultures","433","001","18","3.778","94.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"The History of Yoga","460","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","001","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630","003","8","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","630","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar: Cultures of Asia","","Course Total","35","3.886","91.4",".","5.7",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"History of Chinese Language","631","001","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Chinese Linguistics","632","002","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnography in Asia","655","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Chinese Fiction","672","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
