"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"Teaching Pop Inst Music 2
421","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"43","001","","110","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"43","002","","83","3.892","94.0",".","2.4",".","2.4","1.2",".",".",".",".",".",".",".",".",".","."
"43","003","","69","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","","262","3.966","98.1",".","0.8",".","0.8","0.4",".",".",".",".",".",".",".",".",".","."
"Collegium Musicum
461","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marching Band Techniques
465","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Language Diction-Singing II
468","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","001","","12","3.578","66.7","8.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"497","034","","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","036","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"497","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"497","159","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","49","3.756","75.5","10.2","10.2","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"499","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Concert Choir
50","001","","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Treble Choir
52","001","","57","3.956","94.7","1.8","3.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Choral Lit &Perf Prac-Today
542","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced String Pedagogy
544","084","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"546","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"546","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"String Literature","Course Total","","2","***","","","","","","","","","","","","","","","",""
"553","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"553","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Conducting Seminar","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera
556","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop
557","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Chorale
56","001","","51","3.980","98.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac Adv Studio Teach-Piano
560","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"562","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"562","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Advanced Ensemble-Woodwind
565","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"567","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"567","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"567","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"567","120","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"567","135","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 307 of 480",""
