"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"100","001","","28","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","002","","27","3.980","88.9","3.7",".",".",".",".",".",".",".",".",".",".","7.4",".",".","."
"Biochemistry Freshman Seminar","Course Total","","55","3.953","90.9","1.8","3.6",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"104","001","","51","3.951","92.2","5.9","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"104","002","","71","3.931","84.5","2.8","2.8","1.4",".",".",".","8.5",".",".",".",".",".",".",".","."
"Molecules to Life & Science","Course Total","","122","3.940","87.7","4.1","2.5","0.8",".",".",".","4.9",".",".",".",".",".",".",".","."
"299","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Biochemistry
301","001","","46","2.946","28.3","10.9","21.7","13.0","19.6","6.5",".",".",".",".",".",".",".",".",".","."
"Special Topics
375","001","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","001","","224","3.538","56.7","16.5","13.8","4.0","7.6","0.9",".","0.4",".",".",".",".",".",".",".","."
"501","002","","323","3.418","47.7","18.0","14.9","6.2","11.1","0.6",".","0.9",".",".",".",".","0.6",".",".","."
"Introduction-Biochemistry","Course Total","","547","3.468","51.4","17.4","14.4","5.3","9.7","0.7",".","0.7",".",".",".",".","0.4",".",".","."
"General Biochemistry I
507","001","","39","3.324","43.6","23.1","12.8","2.6","5.1","5.1","2.6",".",".",".",".",".","2.6",".","2.6","."
"General Biochemistry II
508","001","","103","3.180","39.8","19.4","10.7","9.7","10.7","3.9","2.9","1.0",".",".",".",".","1.0",".","1.0","."
"Nutr Biochm & Mtblsm
510","001","","51","3.539","56.9","11.8","21.6","2.0","7.8",".",".",".",".",".",".",".",".",".",".","."
"Human Disease & Biotechnology
550","001","","28","3.125","35.7","17.9","17.9","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Biochemical Methods
551","001","","90","3.828","77.8","13.3","5.6","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Modeling of Bio Systems
570","001","","46","3.783","84.8","4.3","6.5",".","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"Biology of Viruses
575","001","","15","3.267","40.0","13.3","26.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".","."
"Adv Nutr: Metab-Macronutrients
619","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Eukaryotic Molecular Biology
620","001","","33","3.672","54.5","21.2","21.2",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Mechanisms-Vitamins & Minerals
625","001","","15","3.750","66.7","20.0",".",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"Biophysical Chemistry
665","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis
681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","Page 13 of 480"
