"ENGLISH AS A SECOND LANGU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"Grammar for Academic Use
115
001","12","",".",".",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".","."
"116
001","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"116
002","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"116
003","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".","7.7",".","."
"Course Total
Acad Reading and Vocab Skills","44","",".",".",".",".",".",".",".",".",".","93.2","4.5",".",".","2.3",".","."
"117
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
002","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
003","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
004","15","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"117
005","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"117
006","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
007","12","",".",".",".",".",".",".",".",".",".","83.3","8.3",".",".","8.3",".","."
"117
008","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
009","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"117
010","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
012","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Academic Writing I","146","",".",".",".",".",".",".",".",".",".","95.2","4.1",".",".","0.7",".","."
"118
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
002","14","3.571","64.3","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"118
003","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"118
004","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
005","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
006","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
007","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
008","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
009","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
010","12","3.682","58.3","25.0",".",".","8.3",".",".",".",".",".",".",".","8.3",".",".","."
"118
011","9","3.722","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"118
012","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
013","12","3.542","75.0","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"118
016","13","3.731","76.9","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"118
017","13","3.269","46.2","30.8",".","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"118
019","14","3.885","78.6","7.1","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"118
020","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
021","12","3.708","75.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Academic Writing II","215","3.737","70.2","19.1","4.7","2.3","1.4",".","1.4",".",".",".",".",".","0.9",".",".","."
"343
001","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"343
002","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Oral Communication Skills","18","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"Acad Present. and Discussion
344
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"345
003","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"345
004","10","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
