"Introduction to Capstone","880
002","30","4.000","96.7",".",".",".",".",".","",".",".","",".","",".",".",".","","3.3",".",".","."
"Capstone Project II","882
001","30","4.000","100.0",".",".",".",".",".","",".",".","",".","",".",".",".","",".",".",".","."
"Doc Experiential Component","883
001","30","",".",".",".",".",".",".","",".",".","",".","","100.0",".",".","",".",".",".","."
"695
OCC THER","Dept. Total","309","3.815","66.7","7.4","4.5","1.0","0.3","0.3","",".","",".","",".","19.1","0.3","",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Sophomore","","11","3.864","81.8","9.1","9.1",".",".",".","",".","",".","",".",".",".","",".",".",".",".","."
"Junior","","17","3.618","70.6","11.8","5.9","5.9",".","5.9","",".","",".","",".",".",".","",".",".",".",".","."
"Senior","","33","3.879","87.9","6.1","3.0",".","3.0",".","",".","",".","",".",".",".","",".",".",".",".","."
"Undergraduates","","63","3.802","81.0","9.5","4.8","1.6","1.6","1.6","",".","",".","",".",".",".","",".",".",".",".","."
"Graduate","","246","3.817","63.0","6.9","4.5","0.8",".",".","",".","",".","",".","24.0","0.4","",".","0.4",".",".","."
"","Dept. Total","309","3.815","66.7","7.4","4.5","1.0","0.3","0.3","",".","",".","",".","19.1","0.3","",".","0.3",".",".","."
