"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"Beginning Class Piano
101","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"104","001","","7","3.357","42.9","28.6",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"104","002","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","16","3.625","62.5","18.8","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice
143","101","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"144","103","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"144","104","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"144","105","","8","3.750","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","23","3.855","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"146","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"146","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"146","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"146","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"146","159","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Lessons for Non Majors","Course Total","","18","3.818","94.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"First Year Composition
148","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","054","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"200","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"200","102","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"200","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","5","***","","","","","","","","","","","","","","","",""
"205","018","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","Page 311 of 480",""
