"ART HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","","",""
"","103","001","","46","3.419","15.2","28.3","21.7","2.2",".",".",".","32.6",".",".",".",".",".",".",".","."
"","103","002","","42","3.526","54.8","11.9","11.9","7.1","2.4",".","2.4",".",".",".",".",".","2.4",".","7.1","."
"Topics in Art History","","Course Total","","88","3.478","34.1","20.5","17.0","4.5","1.1",".","1.1","17.0",".",".",".",".","1.1",".","3.4","."
"Race and Representation in Art","104","001","","83","3.791","83.1","3.6","1.2","2.4","2.4","1.2","1.2",".",".",".",".",".",".",".","4.8","."
"History of Western Art I","201","001","","66","3.122","27.3","7.6","10.6","4.5","4.5","6.1","1.5","37.9",".",".",".",".",".",".",".","."
"Making the American Landscape","239","001","","69","3.635","17.4","14.5","4.3","1.4",".",".",".","60.9",".",".",".",".",".","1.4",".","."
"Intro to Afro-American Art","242","001","","19","3.684","84.2",".","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","","12","3.682","58.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"Myth, Loves, Lives:Greek Vases","301","001","","27","3.639","40.7","3.7","22.2",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","303","001","","39","3.780","48.7","12.8",".",".",".","2.6",".","33.3",".",".",".",".","2.6",".",".","."
"","303","002","","47","3.350","25.5","17.0","10.6","6.4",".","4.3",".","36.2",".",".",".",".",".",".",".","."
"","303","003","","124","3.572","42.7","18.5","8.1","6.5","1.6",".","0.8","1.6",".",".",".",".","0.8",".","19.4","."
"Topics in Art History","","Course Total","","210","3.563","40.0","17.1","7.1","5.2","1.0","1.4","0.5","15.2",".",".",".",".","1.0",".","11.4","."
"Art & Archaeology-Ancient Rome","304","001","","25","3.667","28.0","8.0","12.0",".",".",".",".","52.0",".",".",".",".",".",".",".","."
"Italian Renaissance Art","320","001","","19","3.816","78.9","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad: 18th-20th C Art","337","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Great Cities of Islam","373","001","","43","3.482","32.6","20.9","2.3","4.7",".","4.7",".","34.9",".",".",".",".",".",".",".","."
"Topics in Art History","403","001","","7","3.286","57.1","14.3",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Topics in Asian Art","411","001","","29","2.950","10.3","31.0","3.4","10.3","6.9","3.4","3.4","31.0",".",".",".",".",".",".",".","."
"Topics in Medieval Art","415","001","","25","3.269","8.0","16.0","24.0","4.0",".",".",".","48.0",".",".",".",".",".",".",".","."
"Visual Cultures of India","428","001","","10","3.375","30.0","30.0",".","10.0","10.0",".",".","20.0",".",".",".",".",".",".",".","."
"Art and Power in Arab World","440","001","","9","3.556","44.4","44.4",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Prosem:Spec Topics-Art Hist","500","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr:20th Cent European Art","556","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Material Culture","563","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Chinese Art","576","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Art History","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Medieval Art","715","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Early Modern Art","731","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
