"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Computer Augmented Printmaking
636","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal II
644","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","28","3.900","89.3","7.1",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"GRD Interdisciplinary Critique
740","001","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"908","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"908","004","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Art","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Sculpture
914","078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Ceramics
924","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"996","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"996","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","059","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2024","","","","","","","","","","","","","","","","","","","","Page 80 of 480"
